All-Genes	Genes in same transcription unit	Accession-1	Left-End-Position	Right-End-Position	Product	Regulation - transcription factor regulators of gene	Common-Name
XNR_RS11070	XNR_RS11070	XNR_RS11070	2607318	2607812	NUDIX domain-containing protein		
XNR_RS11075	XNR_RS11075	XNR_RS11075	2608060	2608947	methyltransferase domain-containing protein		
XNR_RS11080	XNR_RS11080	XNR_RS11080	2608969	2609607	pentapeptide repeat-containing protein		
XNR_RS11085	XNR_RS11085	XNR_RS11085	2609676	2610803	hypothetical protein		
XNR_RS11090	XNR_RS11090	XNR_RS11090	2611086	2614109	tetratricopeptide repeat protein		
XNR_RS11095	XNR_RS11095	XNR_RS11095	2614709	2615083	VOC family protein		
XNR_RS11100	XNR_RS11100	XNR_RS11100	2615134	2615664	GNAT family N-acetyltransferase		
XNR_RS11105	XNR_RS11105	XNR_RS11105	2615701	2616252	hypothetical protein		
XNR_RS11110	XNR_RS11110	XNR_RS11110	2616409	2618784	PQQ-binding-like beta-propeller repeat protein		
XNR_RS11115	XNR_RS11115	XNR_RS11115	2619407	2620054	TetR/AcrR family transcriptional regulator		
XNR_RS11120	XNR_RS11120	XNR_RS11120	2620302	2620976	pyridoxal 5'-phosphate synthase		
XNR_RS11125	XNR_RS11125	XNR_RS11125	2621083	2621523	peptidoglycan-binding protein		
XNR_RS11130	XNR_RS11130	XNR_RS11130	2621720	2622610	GNAT family N-acetyltransferase		
XNR_RS11135	XNR_RS11135	XNR_RS11135	2622866	2624053	NAD(P)/FAD-dependent oxidoreductase		
XNR_RS11150	XNR_RS11150	XNR_RS11150	2625776	2626984	MFS transporter		
XNR_RS11155	XNR_RS11155	XNR_RS11155	2627160	2628173	helix-turn-helix domain-containing protein		
XNR_RS11160	XNR_RS11160	XNR_RS11160	2628189	2628668	ATP-binding protein		
XNR_RS11165	XNR_RS11165	XNR_RS11165	2629166	2629693	EF-hand domain-containing protein		
XNR_RS11170	XNR_RS11170	XNR_RS11170	2629934	2630308	STAS domain-containing protein		
XNR_RS11175	XNR_RS11180 // XNR_RS11175	XNR_RS11175	2630786	2631364	sigma-70 family RNA polymerase sigma factor		
XNR_RS11180	XNR_RS11180 // XNR_RS11175	XNR_RS11180	2631361	2632473	maleylpyruvate isomerase N-terminal domain-containing protein		
XNR_RS11190	XNR_RS11190	XNR_RS11190	2634493	2634993	hypothetical protein		
XNR_RS11195	XNR_RS11195	XNR_RS11195	2635109	2636377	ABC transporter substrate-binding protein		
XNR_RS11200	XNR_RS11200	XNR_RS11200	2636408	2637922	hypothetical protein		
XNR_RS11205	XNR_RS11205	XNR_RS11205	2638197	2639579	hypothetical protein		
XNR_RS11210	XNR_RS11210	XNR_RS11210	2640022	2640675	bifunctional DNA primase/polymerase		
XNR_RS11215	XNR_RS11215	XNR_RS11215	2640815	2641270	hypothetical protein		
XNR_RS11220	XNR_RS11225 // XNR_RS11220	XNR_RS11220	2641423	2642271	ABC transporter ATP-binding protein		
XNR_RS11225	XNR_RS11225 // XNR_RS11220	XNR_RS11225	2642268	2643962	hypothetical protein		
XNR_RS11230	XNR_RS11230	XNR_RS11230	2644117	2644563	DUF1772 domain-containing protein		
XNR_RS11235	XNR_RS11235	XNR_RS11235	2644662	2645240	TetR/AcrR family transcriptional regulator		
XNR_RS11240	XNR_RS11240	XNR_RS11240	2645925	2646797	alpha/beta hydrolase		
XNR_RS11245	XNR_RS11245	XNR_RS11245	2647473	2648165	metal-dependent transcriptional regulator		
XNR_RS11250	XNR_RS11250	XNR_RS11250	2648429	2649223	SIS domain-containing protein		
XNR_RS11255	XNR_RS11255	XNR_RS11255	2649288	2650673	PAS domain-containing protein		
XNR_RS11265	XNR_RS11265	XNR_RS11265	2652100	2653209	citrate synthase 2		
XNR_RS11270	XNR_RS11270	XNR_RS11270	2653283	2654860	alpha/beta hydrolase		
XNR_RS11275	XNR_RS11280 // XNR_RS11275	XNR_RS11275	2655028	2655606	TetR/AcrR family transcriptional regulator		
XNR_RS11280	XNR_RS11280 // XNR_RS11275	XNR_RS11280	2655594	2656328	enoyl-CoA hydratase family protein		
XNR_RS11285	XNR_RS11305 // XNR_RS11300 // XNR_RS11295 // XNR_RS11290 // XNR_RS11285	XNR_RS11285	2656426	2657571	acyl-CoA dehydrogenase family protein		
XNR_RS11290	XNR_RS11305 // XNR_RS11300 // XNR_RS11295 // XNR_RS11290 // XNR_RS11285	XNR_RS11290	2657568	2659544	ATP-grasp domain-containing protein		
XNR_RS11295	XNR_RS11305 // XNR_RS11300 // XNR_RS11295 // XNR_RS11290 // XNR_RS11285	XNR_RS11295	2659556	2661154	acetyl-CoA carboxylase carboxyltransferase subunit		
XNR_RS11300	XNR_RS11305 // XNR_RS11300 // XNR_RS11295 // XNR_RS11290 // XNR_RS11285	XNR_RS11300	2661151	2662875	DUF1446 domain-containing protein		
XNR_RS11305	XNR_RS11305 // XNR_RS11300 // XNR_RS11295 // XNR_RS11290 // XNR_RS11285	XNR_RS11305	2662872	2663669	TIGR03084 family protein		
XNR_RS11310	XNR_RS11310	XNR_RS11310	2663953	2665209	RICIN domain-containing protein		
XNR_RS11315	XNR_RS11315	XNR_RS11315	2665238	2665834	TIGR03086 family protein		
XNR_RS11320	XNR_RS11320	XNR_RS11320	2666032	2666409	hypothetical protein		
XNR_RS11325	XNR_RS11325	XNR_RS11325	2666455	2667453	EamA family transporter		
XNR_RS11330	XNR_RS11330	XNR_RS11330	2667641	2668519	LysR family transcriptional regulator		
XNR_RS11335	XNR_RS11335	XNR_RS11335	2668598	2669053	hypothetical protein		
XNR_RS11340	XNR_RS11340	XNR_RS11340	2669110	2671941	FAD-binding oxidoreductase		
XNR_RS11345	XNR_RS11365 // XNR_RS11360 // XNR_RS11355 // XNR_RS11350 // XNR_RS11345	XNR_RS11345	2672460	2674100	ATP-binding protein		
XNR_RS11350	XNR_RS11365 // XNR_RS11360 // XNR_RS11355 // XNR_RS11350 // XNR_RS11345	XNR_RS11350	2674097	2674513	roadblock/LC7 domain-containing protein		
XNR_RS11355	XNR_RS11365 // XNR_RS11360 // XNR_RS11355 // XNR_RS11350 // XNR_RS11345	XNR_RS11355	2674513	2674866	DUF742 domain-containing protein		
XNR_RS11360	XNR_RS11365 // XNR_RS11360 // XNR_RS11355 // XNR_RS11350 // XNR_RS11345	XNR_RS11360	2674847	2675506	ATP/GTP-binding protein		
XNR_RS11365	XNR_RS11365 // XNR_RS11360 // XNR_RS11355 // XNR_RS11350 // XNR_RS11345	XNR_RS11365	2675503	2676849	cytochrome P450		
XNR_RS11370	XNR_RS11370	XNR_RS11370	2676947	2678248	cytochrome P450		
XNR_RS11380	XNR_RS11380	XNR_RS11380	2679576	2680544	pyridoxal-phosphate dependent enzyme		
XNR_RS11385	XNR_RS11390 // XNR_RS11385	XNR_RS11385	2680648	2681532	ABC transporter permease		
XNR_RS11390	XNR_RS11390 // XNR_RS11385	XNR_RS11390	2681529	2682614	daunorubicin resistance protein DrrA family ABC transporter ATP-binding protein		
XNR_RS11395	XNR_RS11395	XNR_RS11395	2682737	2683537	TetR/AcrR family transcriptional regulator		
XNR_RS11400	XNR_RS11400	XNR_RS11400	2683550	2684596	hypothetical protein		
XNR_RS11405	XNR_RS11405	XNR_RS11405	2684701	2685390	hypothetical protein		
XNR_RS11410	XNR_RS11410	XNR_RS11410	2685608	2686483	nitroreductase family deazaflavin-dependent oxidoreductase		
XNR_RS11415	XNR_RS11430 // XNR_RS11425 // XNR_RS11420 // XNR_RS11415	XNR_RS11415	2686676	2687017	hypothetical protein		
XNR_RS11420	XNR_RS11430 // XNR_RS11425 // XNR_RS11420 // XNR_RS11415	XNR_RS11420	2687017	2688513	peptidase C2		
XNR_RS11425	XNR_RS11430 // XNR_RS11425 // XNR_RS11420 // XNR_RS11415	XNR_RS11425	2688503	2688805	hypothetical protein		
XNR_RS11430	XNR_RS11430 // XNR_RS11425 // XNR_RS11420 // XNR_RS11415	XNR_RS11430	2688798	2689577	hypothetical protein		
XNR_RS11435	XNR_RS11440 // XNR_RS11435	XNR_RS11435	2689611	2690642	hypothetical protein		
XNR_RS11440	XNR_RS11440 // XNR_RS11435	XNR_RS11440	2690627	2691298	hypothetical protein		
XNR_RS11445	XNR_RS11445	XNR_RS11445	2691603	2691956	hypothetical protein		
XNR_RS11450	XNR_RS11450	XNR_RS11450	2692023	2692460	hypothetical protein		
XNR_RS11455	XNR_RS11455	XNR_RS11455	2692658	2693668	hypothetical protein		
XNR_RS11460	XNR_RS11465 // XNR_RS11460	XNR_RS11460	2693693	2694025	DUF1232 domain-containing protein		
XNR_RS11465	XNR_RS11465 // XNR_RS11460	XNR_RS11465	2694057	2694560	hypothetical protein		
XNR_RS11470	XNR_RS11470	XNR_RS11470	2694649	2695644	aldo/keto reductase		
XNR_RS11480	XNR_RS11480	XNR_RS11480	2696533	2697879	MFS transporter		
XNR_RS11485	XNR_RS11485	XNR_RS11485	2697983	2698420	MarR family transcriptional regulator		
XNR_RS11490	XNR_RS11490	XNR_RS11490	2698619	2698882	hypothetical protein		
XNR_RS11495	XNR_RS11495	XNR_RS11495	2698956	2700401	NCS2 family permease		
XNR_RS11500	XNR_RS11500	XNR_RS11500	2700759	2701025	DUF2530 domain-containing protein		
XNR_RS11505	XNR_RS11505	XNR_RS11505	2701194	2703632	HAD-IC family P-type ATPase		
XNR_RS11510	XNR_RS11510	XNR_RS11510	2703738	2704598	hypothetical protein		
XNR_RS11515	XNR_RS11515	XNR_RS11515	2704944	2706203	cytochrome P450		
XNR_RS11520	XNR_RS11520	XNR_RS11520	2707192	2710425	hypothetical protein		
XNR_RS11525	XNR_RS11525	XNR_RS11525	2711583	2712443	DUF3027 domain-containing protein		
XNR_RS11530	XNR_RS11540 // XNR_RS11535 // XNR_RS11530	XNR_RS11530	2712855	2714333	MFS transporter		
XNR_RS11535	XNR_RS11540 // XNR_RS11535 // XNR_RS11530	XNR_RS11535	2714363	2714887	hypothetical protein		
XNR_RS11540	XNR_RS11540 // XNR_RS11535 // XNR_RS11530	XNR_RS11540	2714908	2715633	futalosine hydrolase		
XNR_RS11545	XNR_RS11545	XNR_RS11545	2715701	2716594	1,4-dihydroxy-6-naphthoate synthase		
XNR_RS11550	XNR_RS11550	XNR_RS11550	2716711	2717094	cold-shock protein		
XNR_RS11555	XNR_RS11555	XNR_RS11555	2717236	2717487	hypothetical protein		
XNR_RS11560	XNR_RS11560	XNR_RS11560	2717796	2718500	response regulator transcription factor		
XNR_RS11565	XNR_RS11570 // XNR_RS11565	XNR_RS11565	2719085	2721016	ABC transporter ATP-binding protein		
XNR_RS11570	XNR_RS11570 // XNR_RS11565	XNR_RS11570	2721013	2722908	ABC transporter ATP-binding protein		
XNR_RS11575	XNR_RS11575	XNR_RS11575	2723067	2723198	SapB/AmfS family lanthipeptide		
XNR_RS11585	XNR_RS11600 // XNR_RS11595 // XNR_RS11590 // XNR_RS11585	XNR_RS11585	2726085	2727062	iron-siderophore ABC transporter substrate-binding protein		
XNR_RS11590	XNR_RS11600 // XNR_RS11595 // XNR_RS11590 // XNR_RS11585	XNR_RS11590	2727059	2727913	ABC transporter ATP-binding protein		
XNR_RS11595	XNR_RS11600 // XNR_RS11595 // XNR_RS11590 // XNR_RS11585	XNR_RS11595	2727910	2729007	iron ABC transporter permease		
XNR_RS11600	XNR_RS11600 // XNR_RS11595 // XNR_RS11590 // XNR_RS11585	XNR_RS11600	2729004	2730068	iron ABC transporter permease		
XNR_RS11605	XNR_RS11605	XNR_RS11605	2730201	2730887	HAD family hydrolase		
XNR_RS11610	XNR_RS11610	XNR_RS11610	2732126	2733190	YihY/virulence factor BrkB family protein		
XNR_RS11615	XNR_RS11615	XNR_RS11615	2733557	2735266	acyl-CoA oxidase		
XNR_RS11620	XNR_RS11620	XNR_RS11620	2735378	2736694	cytochrome P450		
XNR_RS11625	XNR_RS11625	XNR_RS11625	2736828	2737436	ATP/GTP-binding protein		
XNR_RS11630	XNR_RS11640 // XNR_RS11635 // XNR_RS11630	XNR_RS11630	2737411	2737785	DUF742 domain-containing protein		
XNR_RS11635	XNR_RS11640 // XNR_RS11635 // XNR_RS11630	XNR_RS11635	2737782	2738183	roadblock/LC7 domain-containing protein		
XNR_RS11640	XNR_RS11640 // XNR_RS11635 // XNR_RS11630	XNR_RS11640	2738180	2739385	sensor histidine kinase		
XNR_RS11645	XNR_RS11645	XNR_RS11645	2739723	2740793	hypothetical protein		
XNR_RS11650	XNR_RS11650	XNR_RS11650	2741106	2743784	helicase C-terminal domain-containing protein		
XNR_RS11655	XNR_RS11660 // XNR_RS11655	XNR_RS11655	2743914	2744174	hypothetical protein		
XNR_RS11660	XNR_RS11660 // XNR_RS11655	XNR_RS11660	2744186	2744713	hypothetical protein		
XNR_RS11665	XNR_RS11670 // XNR_RS11665	XNR_RS11665	2744694	2745017	helix-turn-helix transcriptional regulator		
XNR_RS11670	XNR_RS11670 // XNR_RS11665	XNR_RS11670	2745017	2745385	type II toxin-antitoxin system RelE/ParE family toxin		
XNR_RS11675	XNR_RS11675	XNR_RS11675	2745558	2747195	DEAD/DEAH box helicase		
XNR_RS11680	XNR_RS11680	XNR_RS11680	2747234	2747557	hypothetical protein		
XNR_RS11685	XNR_RS11685	XNR_RS11685	2747789	2748754	helix-turn-helix domain-containing protein		
XNR_RS11690	XNR_RS11705 // XNR_RS11700 // XNR_RS11695 // XNR_RS11690	XNR_RS11690	2748898	2749098	DUF397 domain-containing protein		
XNR_RS11695	XNR_RS11705 // XNR_RS11700 // XNR_RS11695 // XNR_RS11690	XNR_RS11695	2749127	2749564	VOC family protein		
XNR_RS11700	XNR_RS11705 // XNR_RS11700 // XNR_RS11695 // XNR_RS11690	XNR_RS11700	2749597	2750175	GNAT family N-acetyltransferase		
XNR_RS11705	XNR_RS11705 // XNR_RS11700 // XNR_RS11695 // XNR_RS11690	XNR_RS11705	2750209	2751150	aldo/keto reductase		
XNR_RS11710	XNR_RS11710	XNR_RS11710	2751202	2751552	MerR family transcriptional regulator		
XNR_RS11715	XNR_RS11715	XNR_RS11715	2751593	2752027	VOC family protein		
XNR_RS11720	XNR_RS11720	XNR_RS11720	2752232	2753728	glutamate--cysteine ligase		
XNR_RS11725	XNR_RS11725	XNR_RS11725	2753861	2754355	hypothetical protein		
XNR_RS11730	XNR_RS11730	XNR_RS11730	2754395	2755576	DUF2029 domain-containing protein		
XNR_RS11735	XNR_RS11735	XNR_RS11735	2756121	2758271	AAA family ATPase		
XNR_RS11740	XNR_RS11740	XNR_RS11740	2758268	2760901	HEAT repeat domain-containing protein		
XNR_RS11750	XNR_RS11750	XNR_RS11750	2762371	2762583	hypothetical protein		
XNR_RS11755	XNR_RS11755	XNR_RS11755	2762673	2763386	copper homeostasis protein CutC		
XNR_RS11760	XNR_RS11760	XNR_RS11760	2763613	2764299	hypothetical protein		
XNR_RS11765	XNR_RS11775 // XNR_RS11770 // XNR_RS11765	XNR_RS11765	2764316	2765914	hypothetical protein		
XNR_RS11770	XNR_RS11775 // XNR_RS11770 // XNR_RS11765	XNR_RS11770	2765911	2766828	ABC transporter ATP-binding protein		
XNR_RS11775	XNR_RS11775 // XNR_RS11770 // XNR_RS11765	XNR_RS11775	2766842	2767240	hypothetical protein		
XNR_RS11780	XNR_RS11780	XNR_RS11780	2767410	2768630	two-component sensor histidine kinase		
XNR_RS11785	XNR_RS11785	XNR_RS11785	2768702	2769373	response regulator transcription factor		
XNR_RS11790	XNR_RS11790	XNR_RS11790	2769648	2770880	MFS transporter		
XNR_RS11795	XNR_RS11795	XNR_RS11795	2770923	2772029	GNAT family N-acetyltransferase		
XNR_RS11800	XNR_RS11800	XNR_RS11800	2772078	2772536	hypothetical protein		
XNR_RS11805	XNR_RS11810 // XNR_RS11805	XNR_RS11805	2772843	2773112	DUF4031 domain-containing protein		
XNR_RS11810	XNR_RS11810 // XNR_RS11805	XNR_RS11810	2773123	2773485	hypothetical protein		
XNR_RS11815	XNR_RS11815	XNR_RS11815	2773555	2774319	hypothetical protein		
XNR_RS11820	XNR_RS11820	XNR_RS11820	2774361	2775065	histidine phosphatase family protein		
XNR_RS11825	XNR_RS11825	XNR_RS11825	2775407	2776780	peptidoglycan DD-metalloendopeptidase family protein		
XNR_RS11830	XNR_RS11830	XNR_RS11830	2776915	2777838	MurR/RpiR family transcriptional regulator		
XNR_RS11840	XNR_RS11840	XNR_RS11840	2778919	2780532	PTS transporter subunit EIIC		
XNR_RS11845	XNR_RS11845	XNR_RS11845	2780610	2781509	aldo/keto reductase		
XNR_RS11850	XNR_RS11850	XNR_RS11850	2781566	2782084	VOC family protein		
XNR_RS11855	XNR_RS11860 // XNR_RS11855	XNR_RS11855	2782149	2782616	hypothetical protein		
XNR_RS11860	XNR_RS11860 // XNR_RS11855	XNR_RS11860	2782613	2783209	GNAT family N-acetyltransferase		
XNR_RS11865	XNR_RS11870 // XNR_RS11865	XNR_RS11865	2783254	2783517	hypothetical protein		
XNR_RS11870	XNR_RS11870 // XNR_RS11865	XNR_RS11870	2783514	2783756	hypothetical protein		
XNR_RS11875	XNR_RS11875	XNR_RS11875	2783965	2784450	hypothetical protein		
XNR_RS11885	XNR_RS11885	XNR_RS11885	2787094	2787297	cold-shock protein		
XNR_RS11890	XNR_RS11890	XNR_RS11890	2787742	2788020	MoaD/ThiS family protein		
XNR_RS11895	XNR_RS11895	XNR_RS11895	2788101	2789408	threonine synthase		
XNR_RS11900	XNR_RS11900	XNR_RS11900	2789894	2790913	glucosyl-3-phosphoglycerate synthase		
XNR_RS11905	XNR_RS11905	XNR_RS11905	2791117	2792568	trehalose-6-phosphate synthase		
XNR_RS11915	XNR_RS11915	XNR_RS11915	2793512	2793829	DUF3263 domain-containing protein		
XNR_RS11920	XNR_RS11920	XNR_RS11920	2793874	2795211	extracellular solute-binding protein		
XNR_RS11925	XNR_RS11925	XNR_RS11925	2795589	2796512	SIS domain-containing protein		
XNR_RS11930	XNR_RS11930	XNR_RS11930	2796637	2796969	hypothetical protein		
XNR_RS11935	XNR_RS11940 // XNR_RS11935	XNR_RS11935	2797000	2797413	hypothetical protein		
XNR_RS11940	XNR_RS11940 // XNR_RS11935	XNR_RS11940	2797395	2797703	hypothetical protein		
XNR_RS11945	nagA // XNR_RS11945	XNR_RS11945	2797978	2798910	ROK family protein		
XNR_RS11955	XNR_RS11955	XNR_RS11955	2800245	2801150	MerR family transcriptional regulator		
XNR_RS11960	XNR_RS11960	XNR_RS11960	2801391	2802338	lytic polysaccharide monooxygenase		
XNR_RS11965	XNR_RS11965	XNR_RS11965	2802503	2803432	1-phosphofructokinase family hexose kinase		
XNR_RS11970	XNR_RS11970	XNR_RS11970	2803504	2804349	class II fructose-bisphosphate aldolase		
XNR_RS11975	XNR_RS11975	XNR_RS11975	2804451	2805431	hypothetical protein		
XNR_RS11980	XNR_RS11980	XNR_RS11980	2805936	2807666	diguanylate cyclase		
XNR_RS11985	XNR_RS11985	XNR_RS11985	2808085	2808672	flavin reductase family protein		
XNR_RS11995	XNR_RS11995	XNR_RS11995	2809374	2809949	TerD family protein		
XNR_RS12000	XNR_RS12005 // XNR_RS12000	XNR_RS12000	2810090	2810662	GNAT family N-acetyltransferase		
XNR_RS12005	XNR_RS12005 // XNR_RS12000	XNR_RS12005	2810662	2811837	Zn-dependent alcohol dehydrogenase		
XNR_RS12010	XNR_RS12010	XNR_RS12010	2811975	2813303	VCBS repeat-containing protein		
XNR_RS12015	XNR_RS12015	XNR_RS12015	2813300	2814265	NAD(P)H-binding protein		
XNR_RS12020	XNR_RS12020	XNR_RS12020	2814457	2815164	TetR/AcrR family transcriptional regulator		
XNR_RS12025	XNR_RS12025	XNR_RS12025	2815183	2816538	M1 family metallopeptidase		
XNR_RS12030	XNR_RS12030	XNR_RS12030	2816717	2817328	TetR family transcriptional regulator		
XNR_RS12035	XNR_RS12040 // XNR_RS12035	XNR_RS12035	2817391	2818107	ABC transporter ATP-binding protein		
XNR_RS12040	XNR_RS12040 // XNR_RS12035	XNR_RS12040	2818104	2819231	FtsX-like permease family protein		
XNR_RS12045	XNR_RS12045	XNR_RS12045	2819393	2819902	hypothetical protein		
XNR_RS12050	XNR_RS12050	XNR_RS12050	2820007	2820357	hypothetical protein		
XNR_RS12055	XNR_RS12055	XNR_RS12055	2820644	2821684	hypothetical protein		
XNR_RS12060	XNR_RS12060	XNR_RS12060	2821712	2822188	GNAT family N-acetyltransferase		
XNR_RS12065	XNR_RS12065	XNR_RS12065	2822589	2823554	hydroxyurea phosphotransferase		
XNR_RS12070	XNR_RS12070	XNR_RS12070	2823703	2825100	FAD-dependent oxidoreductase		
XNR_RS12080	XNR_RS12080	XNR_RS12080	2825838	2826047	hypothetical protein		
XNR_RS12085	XNR_RS12090 // XNR_RS12085	XNR_RS12085	2826176	2826994	helix-turn-helix transcriptional regulator		
XNR_RS12090	XNR_RS12090 // XNR_RS12085	XNR_RS12090	2826997	2827203	DUF397 domain-containing protein		
XNR_RS12095	XNR_RS12095	XNR_RS12095	2827258	2827464	DUF397 domain-containing protein		
XNR_RS12100	XNR_RS12100	XNR_RS12100	2827517	2827723	DUF397 domain-containing protein		
XNR_RS12105	XNR_RS12105	XNR_RS12105	2827787	2827993	DUF397 domain-containing protein		
XNR_RS12110	XNR_RS12110	XNR_RS12110	2828141	2829547	hypothetical protein		
XNR_RS12115	XNR_RS12115	XNR_RS12115	2829690	2830958	molybdopterin-dependent oxidoreductase		
XNR_RS12125	XNR_RS12135 // XNR_RS12130 // XNR_RS12125	XNR_RS12125	2831284	2832069	class I SAM-dependent methyltransferase		
XNR_RS12130	XNR_RS12135 // XNR_RS12130 // XNR_RS12125	XNR_RS12130	2832066	2832713	DUF2064 domain-containing protein		
XNR_RS12135	XNR_RS12135 // XNR_RS12130 // XNR_RS12125	XNR_RS12135	2832710	2833462	glycosyltransferase family 2 protein		
XNR_RS12140	XNR_RS12140	XNR_RS12140	2833540	2834607	NAD-dependent epimerase/dehydratase family protein		
XNR_RS12145	XNR_RS12145	XNR_RS12145	2834678	2834863	hypothetical protein		
XNR_RS12150	XNR_RS12165 // XNR_RS12160 // XNR_RS12155 // XNR_RS12150	XNR_RS12150	2834984	2835196	DUF2945 domain-containing protein		
XNR_RS12155	XNR_RS12165 // XNR_RS12160 // XNR_RS12155 // XNR_RS12150	XNR_RS12155	2835207	2835749	DUF488 domain-containing protein		
XNR_RS12160	XNR_RS12165 // XNR_RS12160 // XNR_RS12155 // XNR_RS12150	XNR_RS12160	2835746	2836039	MGMT family protein		
XNR_RS12165	XNR_RS12165 // XNR_RS12160 // XNR_RS12155 // XNR_RS12150	XNR_RS12165	2836069	2836290	hypothetical protein		
XNR_RS12170	XNR_RS12175 // XNR_RS12170	XNR_RS12170	2836312	2836587	hypothetical protein		
XNR_RS12175	XNR_RS12175 // XNR_RS12170	XNR_RS12175	2836589	2836777	hypothetical protein		
XNR_RS12180	XNR_RS12180	XNR_RS12180	2837088	2838149	hypothetical protein		
XNR_RS12185	XNR_RS12185	XNR_RS12185	2838365	2838895	toxin-antitoxin system HicB family antitoxin		
XNR_RS12190	XNR_RS12190	XNR_RS12190	2838997	2839866	DUF4097 family beta strand repeat protein		
XNR_RS12195	XNR_RS12200 // XNR_RS12195	XNR_RS12195	2839970	2840944	daunorubicin resistance protein DrrA family ABC transporter ATP-binding protein		
XNR_RS12200	XNR_RS12200 // XNR_RS12195	XNR_RS12200	2840941	2841723	ABC transporter permease		
XNR_RS12205	XNR_RS12210 // XNR_RS12205	XNR_RS12205	2841802	2842119	helix-turn-helix transcriptional regulator		
XNR_RS12210	XNR_RS12210 // XNR_RS12205	XNR_RS12210	2842116	2842478	type II toxin-antitoxin system RelE/ParE family toxin		
XNR_RS12215	XNR_RS12215	XNR_RS12215	2842477	2844174	hypothetical protein		
XNR_RS12220	XNR_RS12220	XNR_RS12220	2844264	2844506	hypothetical protein		
XNR_RS12225	XNR_RS12240 // XNR_RS12235 // XNR_RS12230 // XNR_RS12225	XNR_RS12225	2844810	2845664	STAS domain-containing protein		
XNR_RS12230	XNR_RS12240 // XNR_RS12235 // XNR_RS12230 // XNR_RS12225	XNR_RS12230	2845661	2846041	STAS domain-containing protein		
XNR_RS12235	XNR_RS12240 // XNR_RS12235 // XNR_RS12230 // XNR_RS12225	XNR_RS12235	2846041	2846457	ATP-binding protein		
XNR_RS12240	XNR_RS12240 // XNR_RS12235 // XNR_RS12230 // XNR_RS12225	XNR_RS12240	2846445	2847524	SpoIIE family protein phosphatase		
XNR_RS12245	XNR_RS12250 // XNR_RS12245	XNR_RS12245	2847611	2849335	response regulator		
XNR_RS12250	XNR_RS12250 // XNR_RS12245	XNR_RS12250	2849332	2850933	SpoIIE family protein phosphatase		
XNR_RS12255	XNR_RS12255	XNR_RS12255	2851024	2852253	choice-of-anchor A family protein		
XNR_RS12260	XNR_RS12265 // XNR_RS12260	XNR_RS12260	2852266	2852952	ABC transporter ATP-binding protein		
XNR_RS12265	XNR_RS12265 // XNR_RS12260	XNR_RS12265	2852949	2854037	ABC transporter permease		
XNR_RS12270	XNR_RS12270	XNR_RS12270	2854311	2855381	hypothetical protein		
XNR_RS12275	XNR_RS12280 // XNR_RS12275	XNR_RS12275	2855433	2856287	helix-turn-helix domain-containing protein		
XNR_RS12280	XNR_RS12280 // XNR_RS12275	XNR_RS12280	2856312	2856836	hypothetical protein		
XNR_RS12285	XNR_RS12285	XNR_RS12285	2856808	2857068	hypothetical protein		
XNR_RS12290	XNR_RS30795 // XNR_RS12290	XNR_RS12290	2857584	2857793	hypothetical protein		
XNR_RS12295	XNR_RS12295	XNR_RS12295	2857979	2858596	histidine phosphatase family protein		
XNR_RS12300	XNR_RS12300	XNR_RS12300	2859034	2860125	hypothetical protein		
XNR_RS12305	XNR_RS12305	XNR_RS12305	2860115	2860870	dienelactone hydrolase family protein		
XNR_RS12310	XNR_RS12315 // XNR_RS12310	XNR_RS12310	2860958	2861905	AraC family transcriptional regulator		
XNR_RS12315	XNR_RS12315 // XNR_RS12310	XNR_RS12315	2861935	2862843	zinc-binding dehydrogenase		
XNR_RS12320	XNR_RS12325 // XNR_RS12320	XNR_RS12320	2863093	2864367	sensor histidine kinase		
XNR_RS12325	XNR_RS12325 // XNR_RS12320	XNR_RS12325	2864364	2864999	response regulator transcription factor		
XNR_RS12335	XNR_RS12335 // crcB	XNR_RS12335	2865390	2865941	CrcB family protein		
XNR_RS12340	XNR_RS12340	XNR_RS12340	2865985	2866623	hypothetical protein		
XNR_RS12345	XNR_RS12345	XNR_RS12345	2866798	2867718	diiron oxygenase		
XNR_RS12350	XNR_RS12350	XNR_RS12350	2867861	2869573	FAD-dependent oxidoreductase		
XNR_RS12360	XNR_RS12360	XNR_RS12360	2871798	2872583	SGNH/GDSL hydrolase family protein		
XNR_RS12375	XNR_RS12375	XNR_RS12375	2873974	2874936	NAD(P)/FAD-dependent oxidoreductase		
XNR_RS12380	XNR_RS12380	XNR_RS12380	2875031	2875342	hypothetical protein		
XNR_RS12385	XNR_RS12385	XNR_RS12385	2875521	2877032	DEAD/DEAH box helicase		
XNR_RS12390	XNR_RS12390	XNR_RS12390	2877481	2877684	cold-shock protein		
XNR_RS12395	XNR_RS12395	XNR_RS12395	2878270	2878614	MerR family transcriptional regulator		
XNR_RS12400	XNR_RS12400	XNR_RS12400	2878642	2879181	ATP-binding protein		
XNR_RS12405	XNR_RS12405	XNR_RS12405	2879309	2879659	STAS domain-containing protein		
XNR_RS12410	XNR_RS12410	XNR_RS12410	2880183	2880566	STAS domain-containing protein		
XNR_RS12415	XNR_RS12420 // XNR_RS12415	XNR_RS12415	2880613	2881674	cobalamin-dependent protein		
XNR_RS12420	XNR_RS12420 // XNR_RS12415	XNR_RS12420	2881671	2883359	serine/threonine-protein phosphatase		
