Orthogroup	Bsu	Eco	Mtu	Pae	Sac	Sal	Sen
OG0001269							"STM0946, STM1957, STM2471, STM3032, STM3479, STM4311"
OG0001270	BSU_00590	b3400		PA5195		XNR_RS24220	STM3497
OG0001271	"BSU_01460, BSU_13220"				SACI_RS08670	XNR_RS22595	STM3074
OG0001272	BSU_01670	b2430	Rv1922			XNR_RS22810	STM2478
OG0001273	BSU_01810	b2213		"PA2118, PA3596"			STM2265
OG0001274	"BSU_01860, BSU_30690, BSU_34670"		Rv1284			XNR_RS23705	
OG0001275	"BSU_02170, BSU_03530"			PA1286		"XNR_RS08740, XNR_RS11150"	
OG0001276	"BSU_02210, BSU_07210"			"PA1060, PA3428"		XNR_RS13055	
OG0001277	BSU_02270		Rv0436c	PA4693		"XNR_RS02275, XNR_RS17560"	
OG0001278	"BSU_02280, BSU_13430, BSU_18190"				SACI_RS01395	XNR_RS22490	
OG0001279	BSU_02490	"b2787, b2788"					"STM2960, STM2961"
OG0001280	"BSU_02700, BSU_08350"					"XNR_RS16920, XNR_RS19110, XNR_RS25225"	
OG0001281	BSU_03000			"PA0030, PA3236, PA5378, PA5388"			
OG0001282	BSU_03020	b2298				XNR_RS24225	"STM2339, STM4464"
OG0001283	"BSU_03050, BSU_29120"	b3236			SACI_RS01200		STM3359
OG0001284	BSU_03140					"XNR_RS00385, XNR_RS04060, XNR_RS16245, XNR_RS26005"	
OG0001285	BSU_03290			"PA1780, PA3500, PA4904"		XNR_RS01740	
OG0001286	"BSU_03710, BSU_07780, BSU_17770, BSU_33070, BSU_35820"						
OG0001287	"BSU_03720, BSU_07760, BSU_17760, BSU_33060, BSU_35810"						
OG0001288	BSU_03870	b1518		"PA0709, PA3566"			STM4079
OG0001289	"BSU_04110, BSU_21740"					"XNR_RS01275, XNR_RS12360, XNR_RS27535"	
OG0001290	BSU_04620	b2563	Rv2523c			XNR_RS18690	STM2577
OG0001291	BSU_04780	b3407		PA5201		XNR_RS01405	STM3504
OG0001292	"BSU_05140, BSU_05160"	b3660				XNR_RS27165	STM3765
OG0001293	BSU_05320		Rv1556			"XNR_RS01665, XNR_RS10450, XNR_RS22825"	
OG0001294	BSU_05390		"Rv1994c, Rv2358"	PA0279		XNR_RS04345	
OG0001295	"BSU_05830, BSU_38390, BSU_38580"	b1737					STM1313
OG0001296	BSU_06100	"b4346, b4346"			"SACI_RS09420, SACI_RS09620"		
OG0001297	BSU_06550	b4141	Rv1979c			XNR_RS19065	STM4328
OG0001298	BSU_06670		Rv3012c	PA4482	SACI_RS06350	XNR_RS06615	
OG0001299	BSU_06680		Rv3011c	PA4483	SACI_RS06355	XNR_RS06610	
OG0001300	BSU_06690		Rv3009c	PA4484	SACI_RS03330	XNR_RS06600	
OG0001301	"BSU_06812, BSU_19000, BSU_21580, BSU_25860, BSU_36190"						
OG0001302	BSU_07200	"b0786, b0787"					"STM0807, STM0808"
OG0001303	"BSU_07260, BSU_07710, BSU_24840, BSU_33360"			PA1689			
OG0001304	"BSU_07610, BSU_26860, BSU_39060"			PA5468		XNR_RS22195	
OG0001305	BSU_07860	"b1690, b1691"					"STM1360, STM1361"
OG0001306	BSU_08120	b1582	Rv2639c	PA3275			STM1504
OG0001307	BSU_08930	b3606	Rv3366	PA5127			STM3695
OG0001308	BSU_09020	b1004		PA0949		XNR_RS16970	STM1119
OG0001309	BSU_10650	b0397		PA4282		XNR_RS27450	STM0395
OG0001310	BSU_10830	b0064		PA1261			"STM0104, STM3678"
OG0001311	"BSU_11100, BSU_14700"			PA3724		"XNR_RS06890, XNR_RS21835"	
OG0001312	BSU_11160		Rv1466		"SACI_RS07550, SACI_RS10005"	XNR_RS24485	
OG0001313	"BSU_11550, BSU_38250"			PA0118	SACI_RS05755	XNR_RS24540	
OG0001314	BSU_12060	b0481		PA3580		XNR_RS23870	STM0495
OG0001315	BSU_13010	b0767		PA4204		XNR_RS00550	STM0785
OG0001316	BSU_13040	b2552		PA2664		XNR_RS07725	STM2556
OG0001317	BSU_13150		Rv2887	"PA0424, PA2825, PA2849"			
OG0001318	BSU_13260	b3404	Rv0600c	PA5199			STM3501
OG0001319	BSU_13300		"Rv0362, Rv1232c"	PA0913		XNR_RS08185	
OG0001320	BSU_13720	b0444		PA0976	SACI_RS01365		STM0455
OG0001321	BSU_13740	b2777		PA0975	SACI_RS07655		STM2951
OG0001322	"BSU_13880, BSU_38070, BSU_38420, BSU_39080"	b3723					
OG0001323	BSU_14310	b0784	Rv3112	PA3917			STM0805
OG0001324	BSU_15110	b0425	Rv2573	PA4397			STM0434
OG0001325	BSU_15130	b0081	Rv2166c	PA4421			STM0119
OG0001326	BSU_15390		Rv2147c			"XNR_RS04085, XNR_RS23775, XNR_RS25140"	
OG0001327	BSU_15540	b2147		PA0439	SACI_RS07595		STM2187
OG0001328	BSU_15750	b2517		PA3806		XNR_RS05935	STM2525
OG0001329	BSU_15760		Rv0018c	"PA0075, PA1670"		XNR_RS15075	
OG0001330	BSU_16420	b1883		"PA0173, PA1459"			STM1917
OG0001331	BSU_16430	"b1888, b1888"		PA0178			STM1921
OG0001332	"BSU_17180, BSU_17190, BSU_17200, BSU_17210, BSU_17220"						
OG0001333	"BSU_17370, BSU_20070"	b2674	Rv3052c				STM2806
OG0001334	BSU_17450		Rv0353			"XNR_RS12395, XNR_RS14990, XNR_RS15745"	
OG0001335	BSU_18080	b0965			SACI_RS00800	XNR_RS27400	STM1078
OG0001336	BSU_18160					"XNR_RS01580, XNR_RS01585, XNR_RS01920, XNR_RS04430"	
OG0001337	BSU_18620			"PA2256, PA4091"	SACI_RS11100		STM1099
OG0001338	BSU_19220	b3822		PA3344		XNR_RS18050	STM3958
OG0001339	BSU_19440	b1663		"PA1361, PA5294"			STM1425
OG0001340	BSU_19480	b3819		PA0485		XNR_RS18170	STM3955
OG0001341	"BSU_19730, BSU_38990"	b2221	Rv2504c	PA1999			
OG0001342	BSU_20500		"Rv3062, Rv3731"		SACI_RS03770	XNR_RS01645	
OG0001343	"BSU_21660, BSU_25770"	"b1374, b1545"	Rv1586c				
OG0001344	BSU_21810	b0048	Rv2763c	PA0350			STM0087
OG0001345	BSU_21820	b2827	Rv2764c	PA0342			STM3001
OG0001346	BSU_23490	b2407	Rv3307			XNR_RS19870	STM2422
OG0001347	BSU_23580	b1767		PA2253	SACI_RS06450		STM1294
OG0001348	BSU_23760	b3974	Rv1092c			XNR_RS18645	STM4139
OG0001349	BSU_24350	b3255		"PA0493, PA4847"			STM3379
OG0001350	BSU_24470		Rv2537c	"PA0245, PA4846"		XNR_RS24315	
OG0001351	BSU_24540	b1308	Rv0324	PA2603			STM1686
OG0001352	BSU_25130	b2159	Rv0670			XNR_RS23610	STM2203
OG0001353	BSU_25420	b4020		"PA4822, PA5473"			STM4189
OG0001354	BSU_25570	b0913	Rv2414c	PA2984			STM0983
OG0001355	BSU_25650	b3180		PA4753	SACI_RS00145		STM3298
OG0001356	BSU_26710	b2682		PA2039		XNR_RS05445	STM4042
OG0001357	BSU_27100	b1798		PA4757		XNR_RS19600	STM1270
OG0001358	BSU_27280	b2232	Rv0089	PA3171			STM2276
OG0001359	"BSU_27340, BSU_27350"	b2081		PA5440			STM2136
OG0001360	BSU_27540	b2812	Rv2338c	PA1164			STM2987
OG0001361	BSU_27710	b0406		PA3823	SACI_RS03140		STM0405
OG0001362	BSU_28020	b3250		PA4480		XNR_RS21470	STM3373
OG0001363	BSU_28070	"b2972, b3335"		PA4528			STM3442
OG0001364	BSU_28420		Rv0163	"PA2801, PA5185, PA5329"			
OG0001365	BSU_28940	b3812		PA5281	SACI_RS02860		STM3950
OG0001366	BSU_29130	b1136		PA2623	SACI_RS11485		STM1238
OG0001367	BSU_29200	b0185		PA3639		XNR_RS13130	STM0232
OG0001368	BSU_29210	b2316	Rv0904c	PA3112			STM2366
OG0001369	BSU_29490	b1324	Rv1932	PA2532			STM1682
OG0001370	BSU_29530	b1766	Rv0724	PA2973			STM1295
OG0001371	BSU_29710			PA3774	SACI_RS01030	"XNR_RS17450, XNR_RS29355"	
OG0001372	BSU_29750	b1215		PA3636	SACI_RS00880		STM1772
OG0001373	BSU_29920		"Rv3168, Rv3761c"	PA1829		XNR_RS25445	
OG0001374	BSU_29960	b0147		PA2861	SACI_RS06150		STM0188
OG0001375	BSU_30510		Rv0183	"PA0308, PA3301"		XNR_RS01220	
OG0001376	BSU_30760			PA2408		"XNR_RS21875, XNR_RS28475"	STM2862
OG0001377	BSU_30950	b3429		PA2165	SACI_RS05725		STM3535
OG0001378	"BSU_30960, BSU_30970"	b3430	Rv1213				STM3536
OG0001379	BSU_31210	"b1770, b2707"		PA5550			STM2837
OG0001380	BSU_31980	b0594	Rv2384	PA4228			STM0596
OG0001381	BSU_32260		Rv1294	PA3736	SACI_RS07805	XNR_RS07335	
OG0001382	BSU_32390	b1868		"PA2157, PA3683"			STM1903
OG0001383	BSU_32460	b1970		PA1518		XNR_RS03125	STM1097
OG0001384	BSU_33190			PA3507	SACI_RS00755	"XNR_RS01760, XNR_RS24710"	
OG0001385	BSU_33330	b1605		"PA1194, PA5170"			STM1477
OG0001386	BSU_33530	b1624		PA5149		XNR_RS08685	STM1462
OG0001387	BSU_34250	b2047		PA2231			"STM2082, STM2103"
OG0001388	"BSU_34320, BSU_35590"		Rv0557	"PA0842, PA4311"			
OG0001389	"BSU_34360, BSU_36250"	"b0981, b2060"					STM2116
OG0001390	BSU_34760	b0780	Rv1422			XNR_RS24355	STM0801
OG0001391	BSU_35360	b1923		PA1092			"STM1959, STM2771"
OG0001392	BSU_35510	b3848		PA0168		XNR_RS27405	STM3985
OG0001393	BSU_36170	b3998			SACI_RS02595	XNR_RS01490	STM4168
OG0001394	BSU_36280		Rv2101	PA0799		"XNR_RS00930, XNR_RS02710"	
OG0001395	BSU_36470	b0511		"PA0443, PA0476"			STM0522
OG0001396	BSU_36560	b1448		PA4866		XNR_RS10640	STM1590
OG0001397	BSU_36640		Rv1850	PA4868		"XNR_RS22075, XNR_RS27630"	
OG0001398	BSU_37090	b3925	Rv1099c			XNR_RS20490	STM4085
OG0001399	BSU_37180		Rv0338c	PA5399	SACI_RS07950	XNR_RS15475	
OG0001400	BSU_38340	b2536		"PA1682, PA2068"			STM2554
OG0001401	BSU_38430	"b3626, b3627"					"STM3717, STM3718"
OG0001402	BSU_38470		Rv0418	PA2939		"XNR_RS04735, XNR_RS14265"	
OG0001403	BSU_38500			PA4078		"XNR_RS12515, XNR_RS12525, XNR_RS27945"	
OG0001404	BSU_38640	b0427	Rv2456c	PA4233			STM0436
OG0001405	BSU_38740	b0887	Rv1621c			XNR_RS14555	STM0957
OG0001406	BSU_39010	b1822	Rv0224c	PA1161			STM1835
OG0001407	BSU_39050	b1732		PA2147		XNR_RS22235	STM1318
OG0001408	BSU_39400	b4382	Rv3314c			XNR_RS19705	STM4568
OG0001409	BSU_39420	b4381	Rv0478			XNR_RS19850	STM4567
OG0001410	BSU_39430	"b1512, b4295"				XNR_RS26705	STM4073
OG0001411	BSU_39730				SACI_RS10905	XNR_RS20985	"STM4431, STM4432"
OG0001412	BSU_40480	b1791		PA1626		XNR_RS24820	STM1278
OG0001413	BSU_03982	b2169					"STM2206, STM3256, STM3784"
OG0001414		"b0018, b1562, b4412, b4415, b4455"					
OG0001415		b0052		"PA0593, PA2212"			"STM0091, STM0163"
OG0001416		b0110		PA4522		"XNR_RS00970, XNR_RS06660"	STM0146
OG0001417		b0128		PA2811		"XNR_RS09880, XNR_RS10065"	STM0173
OG0001418		b0167	Rv2918c	PA3658		XNR_RS06065	STM0214
OG0001419		b0238			"SACI_RS04420, SACI_RS04765"	XNR_RS15515	STM0317
OG0001420		b0424	Rv0052			"XNR_RS19750, XNR_RS20120"	STM0433
OG0001421		b0535		"PA0034, PA3045, PA3948"			STM0549
OG0001422		"b0555, b1554"					"STM1028, STM2612, STM2715"
OG0001423		b0583	Rv2794c	PA1165		XNR_RS28340	STM0584
OG0001424		b0604		PA2476		"XNR_RS07385, XNR_RS26330"	STM0607
OG0001425		b0630	Rv2217	PA3997		XNR_RS23220	STM0635
OG0001426		b0655		"PA1342, PA3858, PA5082"			STM0665
OG0001427		b0658	Rv2366c	PA3983		XNR_RS21810	STM0667
OG0001428		b0698	Rv1029	PA1633		XNR_RS06755	STM0706
OG0001429		b0708		PA4660	SACI_RS05850	XNR_RS03385	STM0709
OG0001430		"b0717, b2336, b3047"					"STM0197, STM3027"
OG0001431		b0720	Rv0896	PA1580		XNR_RS20940	STM0730
OG0001432		b0721	Rv3316	PA1581		XNR_RS19495	STM0732
OG0001433		b0737		"PA0198, PA0693, PA0969"			STM0745
OG0001434		"b0738, b3005"		PA0970			"STM0746, STM3158"
OG0001435		b0751		PA1958		XNR_RS26805	"STM0757, STM3911"
OG0001436		b0777		PA0503		"XNR_RS00900, XNR_RS16270"	STM0796
OG0001437		b0789		"PA2155, PA4339"		XNR_RS23150	STM0812
OG0001438		b0818	"Rv2684, Rv2685"			XNR_RS10770	STM0836
OG0001439		b0838		"PA1655, PA1890, PA2813"			STM0862
OG0001440		b0868	Rv1106c	PA4361		XNR_RS22245	STM0932
OG0001441		b0881	Rv1331	PA2621		XNR_RS08880	STM0944
OG0001442		"b0900, b1328"		"PA1128, PA1738, PA2220"			
OG0001443		b0916	Rv2762c	PA2844		XNR_RS09360	STM0986
OG0001444		b0917	Rv1684	PA2980		XNR_RS09475	STM0987
OG0001445		b0945	Rv2139	PA3050		XNR_RS26615	STM1058
OG0001446		"b0973, b2994"					"STM1538, STM1787, STM3147"
OG0001447		b1057		"PA0422, PA2936, PA3575"			STM1158
OG0001448		b1102		"PA2398, PA4168, PA4221"			STM1204
OG0001449		b1118	Rv0987	"PA2986, PA2988"			STM1219
OG0001450		"b0561, b0563, b1156, b1373, b1546"					
OG0001451		"b1168, b2176"		"PA2818, PA3825"			STM2215
OG0001452		"b1197, b3519"		PA2416			"STM1796, STM3603"
OG0001453		b1266		PA3200	SACI_RS06745	XNR_RS08150	STM1721
OG0001454		b1270	Rv2849c	PA1272		XNR_RS24615	STM1718
OG0001455		b1299			SACI_RS05885	"XNR_RS13195, XNR_RS14615, XNR_RS17380"	
OG0001456		b1327		"PA2218, PA3829"		"XNR_RS02455, XNR_RS13265"	
OG0001457		b1339				"XNR_RS18840, XNR_RS21270, XNR_RS26760, XNR_RS27185"	
OG0001458		b1344		PA1192	"SACI_RS01850, SACI_RS07485"		STM1654
OG0001459		b1388			"SACI_RS08465, SACI_RS08470"	"XNR_RS10730, XNR_RS29180"	
OG0001460		b1432				"XNR_RS20660, XNR_RS25345"	"PSLT035, STM2599"
OG0001461		b1447		"PA3320, PA4815"			"STM1591, STM3549"
OG0001462		"b1474, b3894"		PA4812			"STM1570, STM4037"
OG0001463		"b1475, b3893"		PA4811			"STM1569, STM4036"
OG0001464		b1609		"PA1158, PA1798"		XNR_RS07105	STM1471
OG0001465		b1638	Rv2607	PA1049		XNR_RS11260	STM1448
OG0001466		b1681	Rv1462		SACI_RS06650	XNR_RS24460	STM1372
OG0001467		b1688	Rv1101c	"PA1625, PA2651"			STM1364
OG0001468		b1809		"PA1568, PA5083, PA5303"			STM1822
OG0001469		b1813	Rv3672c	PA3754		XNR_RS13510	STM1825
OG0001470		b1845	Rv0457c	PA1304	SACI_RS12305		STM1879
OG0001471		b1863	Rv2594c	PA0965		XNR_RS26435	STM1898
OG0001472		b1897	"Rv2006, Rv3372"			XNR_RS11910	STM1929
OG0001473		"b1902, b1905"	Rv3841				"STM1932, STM1935"
OG0001474		b1916		"PA1430, PA1898, PA3477"			STM1950
OG0001475		b1919		PA3089a		"XNR_RS07740, XNR_RS21750"	STM1953
OG0001476		b1991	Rv2207	PA1279		XNR_RS23305	STM2016
OG0001477		b1992	Rv2208	PA1281		XNR_RS23295	STM2017
OG0001478		b1993	Rv0254c	PA1278		XNR_RS23315	STM2018
OG0001479		b2048	Rv3257c	PA5322		XNR_RS09485	STM2104
OG0001480		b2053	Rv1511	PA5453		XNR_RS29010	STM2109
OG0001481		b2067		"PA0861, PA1181, PA4959"			STM2123
OG0001482		b2177		"PA1810, PA1811, PA2058"			STM2216
OG0001483		"b2194, b4075"		PA1482			"STM2247, STM3812"
OG0001484		b2217		"PA2899, PA3714, PA4080"			STM2270
OG0001485		b2251	Rv2609c			"XNR_RS05995, XNR_RS26415"	STM2295
OG0001486		b2279	Rv3155	PA2646		XNR_RS18030	STM2319
OG0001487		b2280	Rv3154	PA2645		XNR_RS18025	STM2320
OG0001488		b2283	Rv3151	PA2642		XNR_RS18010	STM2323
OG0001489		b2284	Rv3150	PA2641		XNR_RS18005	STM2324
OG0001490		b2285	Rv3149	PA2640		XNR_RS18000	STM2325
OG0001491		b2307		"PA0890, PA2925, PA5155"			STM2352
OG0001492		b2308		"PA0889, PA2924, PA5154"			STM2353
OG0001493		b2327		PA1824		"XNR_RS14245, XNR_RS22040"	STM2382
OG0001494		b2340	Rv1276c	PA1616		XNR_RS24830	STM2387
OG0001495		b2342	Rv0243	PA4785		XNR_RS17755	STM2389
OG0001496		b2344		"PA1288, PA1764, PA4589"			STM2391
OG0001497		b2431	Rv0799c	PA2765		XNR_RS14200	STM2446
OG0001498		b2494		"PA1005, PA5047"		XNR_RS18395	STM2494
OG0001499		b2501	Rv2984	PA5242		XNR_RS16345	STM2501
OG0001500		b2578		"PA2306, PA2916, PA4145a"			STM2645
OG0001501		b2587		"PA0229, PA5530"		XNR_RS06445	STM2654
OG0001502		b2622					"STM2636, STM2740, STM2763, STM4488"
OG0001503		b2660		"PA1489, PA5145"		XNR_RS13940	STM2790
OG0001504		"b2708, b3197"		PA4457			"STM2838, STM3315"
OG0001505		b2751	Rv1286	PA4442		XNR_RS03525	STM2934
OG0001506		b2752	Rv1285	PA4443		XNR_RS03520	STM2935
OG0001507		b2898	Rv0811c	PA0759		XNR_RS16560	STM3048
OG0001508		b2916	Rv1985c	PA4363		XNR_RS27350	STM3064
OG0001509		b2918	Rv1496		SACI_RS00275	"XNR_RS07125, XNR_RS23095"	
OG0001510		"b2934, b4195"				XNR_RS01520	"STM2344, STM4385"
OG0001511		b2948	Rv0038	PA0405		XNR_RS09130	STM3096
OG0001512		b2977		"PA1329, PA1503, PA5352"		XNR_RS13770	
OG0001513		b3010		"PA1380, PA2047, PA2276"			STM3163
OG0001514		"b3038, b4186"				XNR_RS19325	"STM3188, STM4376"
OG0001515		b3039		PA2839	SACI_RS10835	XNR_RS10645	STM3189
OG0001516		b3053	Rv2221c	PA5014		XNR_RS22960	STM3201
OG0001517		b3056	Rv3907c	PA0584		XNR_RS14830	STM3204
OG0001518		b3148	Rv2898c	PA4424		XNR_RS05985	STM3265
OG0001519		b3195	Rv0655	PA4456		XNR_RS04630	STM3313
OG0001520		b3247	Rv2444c	PA4477		XNR_RS21510	STM3370
OG0001521		b3336	Rv1876	PA3531		XNR_RS23600	STM3443
OG0001522		b3405		"PA3192, PA4101, PA5200"			STM3502
OG0001523		b3416	Rv1781c	PA2163		XNR_RS21260	STM3513
OG0001524		b3439	Rv0181c	PA1210		XNR_RS22365	STM3544
OG0001525		b3455		"PA1071, PA4910"		XNR_RS24130	STM3561
OG0001526		b3456		"PA1072, PA4911"		XNR_RS24135	STM3562
OG0001527		b3457		"PA1073, PA4912"		XNR_RS24140	STM3563
OG0001528		b3547			"SACI_RS01815, SACI_RS08105"	XNR_RS01960	STM2574
OG0001529		"b3582, b4197"				XNR_RS01905	"STM3676, STM4387"
OG0001530		b3640	Rv2697c	PA5321		XNR_RS04975	STM3731
OG0001531		b3656			SACI_RS05525	XNR_RS27010	"STM0041, STM3749"
OG0001532		b3676	Rv2272		SACI_RS05200	XNR_RS25460	STM3805
OG0001533		b3765	Rv2897c	PA5290		XNR_RS05980	STM3899
OG0001534		b3844		"PA4331, PA5236"		XNR_RS28995	STM3979
OG0001535		b3860		PA5489			"PSLT011, STM3193, STM3997"
OG0001536		b4040		PA5358	SACI_RS11260	XNR_RS17675	STM4234
OG0001537		b4041	"Rv1551, Rv2482c"	PA3673			STM4235
OG0001538		b4068		PA3235		"XNR_RS05140, XNR_RS24750"	STM4274
OG0001539		"b4115, b4132"		PA1819			"STM2558, STM4294"
OG0001540		b4136		"PA2478, PA4845"			"STM1114, STM4323"
OG0001541		b4162	Rv2511	PA4951		XNR_RS20685	STM4350
OG0001542		b4248		PA4173		"XNR_RS13760, XNR_RS22055"	STM1549
OG0001543		b4263	Rv2510c	PA4308	"SACI_RS00240, SACI_RS03180"		
OG0001544		b4291		"PA1302, PA3268, PA3901, PA4897"			
OG0001545		b4327		"PA0815, PA5428"			"STM0764, STM4511"
OG0001546		b4349	Rv2756c	PA2735		XNR_RS13275	STM4525
OG0001547		"b4353, b4512"		PA4605			"STM0601, STM4531"
OG0001548		b4388	Rv3042c	PA4960		XNR_RS24835	STM4578
OG0001549		b3088	Rv2723	PA2549		XNR_RS24310	STM3224
OG0001550		b3824		"PA3665, PA5249"		XNR_RS28205	STM3960
OG0001551		b3838	Rv1224	PA5069		XNR_RS08205	STM3974
OG0001552		b3996	Rv3199c	PA1823		XNR_RS08030	STM4166
OG0001553			Rv0134	"PA2086, PA2934"		XNR_RS16215	STM0332
OG0001554			"Rv0168, Rv0588, Rv1965, Rv3500c"			XNR_RS04620	
OG0001555			"Rv0171, Rv0591, Rv1968, Rv3497c"			XNR_RS04605	
OG0001556			"Rv0172, Rv0592, Rv1969, Rv3496c"			XNR_RS04600	
OG0001557			"Rv0173, Rv0593, Rv1970, Rv3495c"			XNR_RS04595	
OG0001558			"Rv0174, Rv0594, Rv1971, Rv3494c"			XNR_RS04590	
OG0001559			"Rv0283, Rv1782, Rv3450c, Rv3869, Rv3895c"				
OG0001560			"Rv0290, Rv1795, Rv3448, Rv3877, Rv3887c"				
OG0001561			"Rv0291, Rv1796, Rv3449, Rv3883c, Rv3886c"				
OG0001562			"Rv0403c, Rv0451c, Rv0506, Rv0677c, Rv2507"				
OG0001563			Rv0445c			"XNR_RS03370, XNR_RS07515, XNR_RS11175, XNR_RS25815"	
OG0001564			Rv0517	PA4338		"XNR_RS02915, XNR_RS03005, XNR_RS09305"	
OG0001565			"Rv0539, Rv3631"		SACI_RS09195	"XNR_RS12135, XNR_RS25290"	
OG0001566			"Rv0596c, Rv0626, Rv1962A, Rv3385c, Rv3407"				
OG0001567			"Rv0609, Rv0624, Rv1741, Rv1982c, Rv2759c"				
OG0001568			Rv0801			"XNR_RS11715, XNR_RS16240, XNR_RS18155, XNR_RS28490"	
OG0001569			"Rv0922, Rv2791c, Rv2885c, Rv2978c, Rv3827c"				
OG0001570			Rv0966c			"XNR_RS03620, XNR_RS08760, XNR_RS13610, XNR_RS20480"	
OG0001571			Rv1001	PA5171		"XNR_RS03950, XNR_RS04030"	STM4467
OG0001572			"Rv1037c, Rv1198, Rv1793, Rv2346c, Rv3619c"				
OG0001573			"Rv1042c, Rv1149"			"XNR_RS29680, XNR_RS30185, XNR_RS30735"	
OG0001574			"Rv1114, Rv1397c, Rv1561, Rv2010, Rv2548"				
OG0001575			"Rv1177, Rv2007c"	"PA2715, PA3621"		XNR_RS08300	
OG0001576			"Rv0634A, Rv1560, Rv2009, Rv2545, Rv2758c"				
OG0001577			"Rv1758, Rv1984c, Rv2301, Rv3451, Rv3452"				
OG0001578			"Rv1817, Rv3537"	PA2243	SACI_RS00645		STM0691
OG0001579			Rv1987			"XNR_RS07225, XNR_RS07230, XNR_RS26850"	STM0018
OG0001580			Rv2065	PA2905	SACI_RS01955	XNR_RS23120	STM2033
OG0001581			Rv2071c	PA2948	SACI_RS01930	XNR_RS23135	STM2029
OG0001582			Rv2195		"SACI_RS08935, SACI_RS10095, SACI_RS10935"	XNR_RS23430	
OG0001583			Rv2236c	PA1275	SACI_RS11520	XNR_RS24630	STM2034
OG0001584			Rv2463	PA1047		"XNR_RS10435, XNR_RS13295, XNR_RS14665"	
OG0001585			Rv2499c		"SACI_RS05110, SACI_RS05175"	XNR_RS02260	STM3119
OG0001586			Rv2664			"XNR_RS01150, XNR_RS03200, XNR_RS12930, XNR_RS26675"	
OG0001587			Rv2848c	PA1273	SACI_RS03950	XNR_RS24610	STM2035
OG0001588			"Rv2912c, Rv3574"	PA3973		"XNR_RS02530, XNR_RS19465"	
OG0001589			"Rv2951c, Rv3520c"			"XNR_RS02395, XNR_RS04710, XNR_RS25565"	
OG0001590			Rv3030	"PA5457, PA5459"	SACI_RS05745	XNR_RS22620	
OG0001591			Rv3049c	"PA1538, PA2097"		"XNR_RS09690, XNR_RS10475"	
OG0001592			Rv3170	"PA0421, PA4657"		"XNR_RS23240, XNR_RS27215"	
OG0001593			Rv3510c		"SACI_RS08310, SACI_RS10570, SACI_RS10850, SACI_RS10855"		
OG0001594			"Rv0169, Rv0589, Rv1966, Rv3499c"			XNR_RS04615	
OG0001595			Rv0255c	PA1277	SACI_RS02015	XNR_RS24625	STM2019
OG0001596			Rv1562c	PA2164	SACI_RS06880	XNR_RS03625	STM1560
OG0001597			Rv1563c	PA2162	SACI_RS06870	XNR_RS03610	STM1559
OG0001598				"PA0040, PA0692, PA2463, PA4540, PA4624"			
OG0001599				"PA0512, PA0513, PA0514, PA0515"	SACI_RS03385		
OG0001600				"PA0874, PA1233, PA2118a, PA3229, PA3412"			
OG0001601				"PA1003, PA2758, PA2879, PA4989"			STM3020
OG0001602				"PA1247, PA1877, PA3405, PA4142"			STM2692
OG0001603				"PA1396, PA1976, PA1992, PA3271, PA4725"			
OG0001604				"PA1600, PA2266, PA2481, PA4571, PA4619"			
OG0001605				"PA2057, PA2070, PA2089, PA2590, PA4035"			
OG0001606				PA2269		"XNR_RS05020, XNR_RS09200, XNR_RS10590, XNR_RS25705"	
OG0001607				"PA2493, PA3523, PA4206, PA4374"			STM0352
OG0001608				"PA2706, PA2722, PA4177, PA5465"			STM1573
OG0001609				"PA5212, PA5461, PA5462, PA5463, PA5467"			
OG0001610					"SACI_RS03030, SACI_RS12185, SACI_RS12195, SACI_RS12255, SACI_RS12260"		
OG0001611					"SACI_RS04975, SACI_RS05630, SACI_RS05690, SACI_RS08090, SACI_RS12265"		
OG0001612					"SACI_RS08095, SACI_RS08100, SACI_RS08975, SACI_RS10445, SACI_RS10955"		
OG0001613						"XNR_RS08375, XNR_RS12610, XNR_RS21405, XNR_RS26915, XNR_RS28870"	
OG0001614						"XNR_RS01025, XNR_RS20125, XNR_RS25195, XNR_RS25205, XNR_RS27830"	
OG0001615						"XNR_RS05220, XNR_RS10980, XNR_RS24020, XNR_RS24025, XNR_RS25055"	
OG0001616						"XNR_RS01535, XNR_RS08920, XNR_RS10440, XNR_RS14600, XNR_RS26345"	
OG0001617						"XNR_RS29015, XNR_RS29020, XNR_RS29025, XNR_RS29030, XNR_RS31435"	
OG0001618							"PSLT051, STM0479, STM3508, STM3766, STM4518"
OG0001619	BSU_00110		Rv2606c		SACI_RS07410	XNR_RS26420	
OG0001620	BSU_00120		Rv2604c		SACI_RS07415	XNR_RS26425	
OG0001621	BSU_00350	b3155		PA3854			STM3271
OG0001622	"BSU_00570, BSU_13830, BSU_27670, BSU_30050"						
OG0001623	BSU_00660		Rv0410c	PA1782		XNR_RS21185	
OG0001624	BSU_00700		Rv3600c	PA4279		XNR_RS17240	
OG0001625	BSU_00710	b3401		PA5193			STM3498
OG0001626	"BSU_01620, BSU_03800, BSU_03810, BSU_33310"						
OG0001627	BSU_01700	b2428				XNR_RS11835	STM2571
OG0001628	"BSU_01980, BSU_14230"		Rv2874			XNR_RS15260	
OG0001629	BSU_02140	b2240		PA5235			STM2283
OG0001630	BSU_02290	b4160		PA4957			STM4348
OG0001631	BSU_02330	b1055		PA0858			STM1156
OG0001632	BSU_02410	b0261	Rv2458			XNR_RS03450	
